,Country,Year,Schizophrenia (%),Bipolar disorder (%),Eating disorders (%),Anxiety disorders (%),Drug use disorders (%),Depression (%),Alcohol use disorders (%)
1,Albania,1991,0.193393,0.695294,0.129102,3.330348,0.495687,2.141201,1.708135
2,Albania,1992,0.193405,0.695603,0.127063,3.333438,0.495337,2.143395,1.706053
3,Albania,1993,0.193438,0.695922,0.126019,3.336688,0.494085,2.145263,1.703585
4,Albania,1994,0.193491,0.696255,0.125402,3.340089,0.49263,2.15007,1.701142
5,Albania,1995,0.193559,0.696593,0.12532,3.343588,0.492058,2.154413,1.69912
6,Albania,1996,0.193675,0.696925,0.126148,3.346907,0.491589,2.16132,1.693187
7,Albania,1997,0.193865,0.697281,0.127301,3.350161,0.491548,2.170218,1.68162
8,Albania,1998,0.194094,0.6976,0.128839,3.353242,0.49229,2.17953,1.668865
9,Albania,1999,0.194328,0.697972,0.130729,3.35638,0.492855,2.188802,1.658553
10,Albania,2000,0.194541,0.698437,0.132704,3.360267,0.492401,2.195285,1.654338
11,Albania,2001,0.194812,0.698912,0.134932,3.364824,0.492592,2.201979,1.65904
12,Albania,2002,0.195214,0.699501,0.137541,3.37078,0.493751,2.208921,1.670158
13,Albania,2003,0.195677,0.700114,0.140335,3.376952,0.494039,2.216283,1.685102
14,Albania,2004,0.196139,0.700683,0.143047,3.382199,0.495812,2.222116,1.701433
15,Albania,2005,0.196538,0.701136,0.145738,3.385416,0.497503,2.223407,1.716585
16,Albania,2006,0.197004,0.701533,0.148561,3.38721,0.497997,2.222417,1.737167
17,Albania,2007,0.197636,0.701983,0.1517,3.388914,0.497442,2.217203,1.766903
18,Albania,2008,0.198306,0.7024,0.154945,3.390168,0.497332,2.210642,1.79855
19,Albania,2009,0.198905,0.702783,0.157738,3.391018,0.498324,2.206033,1.824955
20,Albania,2010,0.199308,0.703064,0.160337,3.391246,0.50027,2.203342,1.838566
21,Albania,2011,0.199588,0.703313,0.16242,3.391181,0.502703,2.202291,1.843256
22,Albania,2012,0.199863,0.703539,0.165446,3.390807,0.505621,2.202192,1.847375
23,Albania,2013,0.200134,0.70376,0.167105,3.390195,0.508049,2.203098,1.850358
24,Albania,2014,0.200392,0.70397,0.16941,3.389319,0.510089,2.203684,1.851517
25,Albania,2015,0.20063,0.704161,0.171095,3.388212,0.513158,2.204454,1.850252
26,Albania,2016,0.200845,0.704335,0.172627,3.386891,0.515036,2.206507,1.845972
29,Argentina,1991,0.194184,0.756386,0.326904,6.174471,0.920323,3.579068,2.02204
30,Argentina,1992,0.194034,0.757139,0.330504,6.182707,0.921296,3.588855,2.116047
31,Argentina,1993,0.193973,0.757909,0.334286,6.190356,0.92162,3.597366,2.193307
32,Argentina,1994,0.194004,0.758686,0.338418,6.197271,0.921581,3.606913,2.246206
33,Argentina,1995,0.194123,0.759434,0.342052,6.203265,0.921008,3.615924,2.266897
34,Argentina,1996,0.194417,0.760237,0.347589,6.207523,0.918835,3.62656,2.268023
35,Argentina,1997,0.194903,0.761185,0.353055,6.210284,0.914714,3.636296,2.267957
36,Argentina,1998,0.195463,0.762185,0.358989,6.212472,0.909856,3.643306,2.267221
37,Argentina,1999,0.195965,0.763106,0.363814,6.214769,0.906565,3.652057,2.266152
38,Argentina,2000,0.196289,0.763877,0.36584,6.218309,0.904738,3.657305,2.265181
39,Argentina,2001,0.196427,0.764885,0.365304,6.225155,0.908681,3.658839,2.264304
40,Argentina,2002,0.196497,0.766416,0.364991,6.235853,0.915157,3.658971,2.262875
41,Argentina,2003,0.196518,0.768016,0.363373,6.247079,0.923671,3.658181,2.259731
42,Argentina,2004,0.196537,0.769343,0.362547,6.256249,0.932659,3.657002,2.254094
43,Argentina,2005,0.196588,0.770011,0.362843,6.260736,0.937196,3.655549,2.244914
44,Argentina,2006,0.196713,0.770185,0.364132,6.261819,0.941133,3.653175,2.196387
45,Argentina,2007,0.19693,0.770414,0.367761,6.263549,0.944449,3.651586,2.096837
46,Argentina,2008,0.19718,0.770661,0.372471,6.265572,0.94799,3.649862,1.980933
47,Argentina,2009,0.1974,0.770877,0.378055,6.267259,0.950796,3.64756,1.883428
48,Argentina,2010,0.197541,0.771084,0.381185,6.268718,0.955035,3.64793,1.839168
49,Argentina,2011,0.197617,0.771251,0.384078,6.269782,0.958496,3.647499,1.833472
50,Argentina,2012,0.197711,0.771522,0.388199,6.271653,0.964145,3.648385,1.828883
51,Argentina,2013,0.197801,0.771821,0.390826,6.273679,0.971257,3.651044,1.825346
52,Argentina,2014,0.197892,0.772175,0.394867,6.27602,0.979329,3.654178,1.82308
53,Argentina,2015,0.197978,0.772568,0.397998,6.278538,0.987998,3.657683,1.822172
54,Argentina,2016,0.198042,0.772948,0.401108,6.280932,0.999099,3.661312,1.822573
57,Armenia,1991,0.192024,0.711948,0.137635,2.579414,0.455813,2.631101,2.164656
58,Armenia,1992,0.191616,0.712173,0.134424,2.580417,0.454342,2.622601,2.16894
59,Armenia,1993,0.191241,0.712405,0.131542,2.581867,0.453152,2.615707,2.169178
60,Armenia,1994,0.190915,0.712613,0.128973,2.583422,0.451527,2.612934,2.166415
61,Armenia,1995,0.190653,0.712771,0.126777,2.584615,0.450765,2.612533,2.16216
62,Armenia,1996,0.19036,0.712862,0.125119,2.585251,0.449459,2.616297,2.152968
63,Armenia,1997,0.189986,0.712904,0.12365,2.585368,0.448669,2.622335,2.136961
64,Armenia,1998,0.189626,0.712963,0.122542,2.585498,0.44713,2.630749,2.116879
65,Armenia,1999,0.189367,0.713055,0.121564,2.585712,0.445516,2.642468,2.095883
66,Armenia,2000,0.189303,0.713227,0.121398,2.586238,0.445076,2.650069,2.07705
67,Armenia,2001,0.189543,0.713487,0.122517,2.587215,0.446004,2.65792,2.051013
68,Armenia,2002,0.190061,0.71383,0.124967,2.588446,0.449122,2.66634,2.013221
69,Armenia,2003,0.190729,0.714248,0.12843,2.590006,0.452977,2.677003,1.973232
70,Armenia,2004,0.191403,0.714622,0.131622,2.591216,0.456119,2.685217,1.941172
71,Armenia,2005,0.19195,0.714894,0.135408,2.591655,0.458584,2.692555,1.926991
72,Armenia,2006,0.192447,0.715053,0.139445,2.591272,0.461324,2.698772,1.932295
73,Armenia,2007,0.193018,0.715133,0.143598,2.590272,0.46485,2.703805,1.947668
74,Armenia,2008,0.193609,0.715228,0.148043,2.589342,0.468274,2.707865,1.966586
75,Armenia,2009,0.194143,0.715319,0.152224,2.588416,0.473199,2.71182,1.982901
