suicide_demographic_key,Country,Year,Sex,Age,suicides_no,population,suicides/100k pop,gdp_for_year ($),gdp_per_capita ($)
1,Albania,1992,male,35-54 years,12,343800,3.49,"709,452,584",251
2,Albania,1992,male,15-24 years,9,263700,3.41,"709,452,584",251
3,Albania,1992,male,55-74 years,5,159500,3.13,"709,452,584",251
4,Albania,1992,male,25-34 years,7,245500,2.85,"709,452,584",251
5,Albania,1992,female,15-24 years,7,292400,2.39,"709,452,584",251
6,Albania,1992,female,25-34 years,4,267400,1.5,"709,452,584",251
7,Albania,1992,female,35-54 years,2,323100,0.62,"709,452,584",251
8,Albania,1992,female,55-74 years,1,164900,0.61,"709,452,584",251
9,Albania,1992,female,5-14 years,0,336700,0,"709,452,584",251
10,Albania,1992,female,75+ years,0,38700,0,"709,452,584",251
11,Albania,1992,male,5-14 years,0,362900,0,"709,452,584",251
12,Albania,1992,male,75+ years,0,23900,0,"709,452,584",251
13,Albania,1993,male,15-24 years,18,243300,7.4,"1,228,071,038",437
14,Albania,1993,male,55-74 years,7,165000,4.24,"1,228,071,038",437
15,Albania,1993,male,75+ years,1,24200,4.13,"1,228,071,038",437
16,Albania,1993,male,25-34 years,9,230100,3.91,"1,228,071,038",437
17,Albania,1993,female,15-24 years,10,285300,3.51,"1,228,071,038",437
18,Albania,1993,male,35-54 years,10,350300,2.85,"1,228,071,038",437
19,Albania,1993,female,25-34 years,7,261800,2.67,"1,228,071,038",437
20,Albania,1993,female,35-54 years,7,331200,2.11,"1,228,071,038",437
21,Albania,1993,female,55-74 years,2,169500,1.18,"1,228,071,038",437
22,Albania,1993,female,5-14 years,1,340300,0.29,"1,228,071,038",437
23,Albania,1993,male,5-14 years,1,367000,0.27,"1,228,071,038",437
24,Albania,1993,female,75+ years,0,39300,0,"1,228,071,038",437
25,Albania,1994,male,75+ years,2,24600,8.13,"1,985,673,798",697
26,Albania,1994,male,55-74 years,11,171400,6.42,"1,985,673,798",697
27,Albania,1994,female,75+ years,2,39900,5.01,"1,985,673,798",697
28,Albania,1994,male,25-34 years,6,231400,2.59,"1,985,673,798",697
29,Albania,1994,male,35-54 years,9,362800,2.48,"1,985,673,798",697
30,Albania,1994,male,15-24 years,6,242200,2.48,"1,985,673,798",697
31,Albania,1994,female,15-24 years,6,282600,2.12,"1,985,673,798",697
32,Albania,1994,female,25-34 years,4,261100,1.53,"1,985,673,798",697
33,Albania,1994,female,35-54 years,2,342500,0.58,"1,985,673,798",697
34,Albania,1994,female,55-74 years,1,174600,0.57,"1,985,673,798",697
35,Albania,1994,male,5-14 years,1,371800,0.27,"1,985,673,798",697
36,Albania,1994,female,5-14 years,0,344400,0,"1,985,673,798",697
37,Albania,1995,male,25-34 years,13,232900,5.58,"2,424,499,009",835
38,Albania,1995,male,55-74 years,9,178000,5.06,"2,424,499,009",835
39,Albania,1995,female,75+ years,2,40800,4.9,"2,424,499,009",835
40,Albania,1995,female,15-24 years,13,283500,4.59,"2,424,499,009",835
41,Albania,1995,male,15-24 years,11,241200,4.56,"2,424,499,009",835
42,Albania,1995,male,75+ years,1,25100,3.98,"2,424,499,009",835
43,Albania,1995,male,35-54 years,14,375900,3.72,"2,424,499,009",835
44,Albania,1995,female,25-34 years,7,264000,2.65,"2,424,499,009",835
45,Albania,1995,female,35-54 years,8,356400,2.24,"2,424,499,009",835
46,Albania,1995,male,5-14 years,6,376500,1.59,"2,424,499,009",835
47,Albania,1995,female,55-74 years,2,180400,1.11,"2,424,499,009",835
48,Albania,1995,female,5-14 years,2,348700,0.57,"2,424,499,009",835
49,Albania,1996,male,75+ years,2,25400,7.87,"3,314,898,292",1127
50,Albania,1996,male,15-24 years,17,243600,6.98,"3,314,898,292",1127
51,Albania,1996,male,25-34 years,14,235300,5.95,"3,314,898,292",1127
52,Albania,1996,female,15-24 years,16,287700,5.56,"3,314,898,292",1127
53,Albania,1996,female,75+ years,2,41200,4.85,"3,314,898,292",1127
54,Albania,1996,female,25-34 years,10,267900,3.73,"3,314,898,292",1127
55,Albania,1996,male,35-54 years,12,379600,3.16,"3,314,898,292",1127
56,Albania,1996,female,35-54 years,9,362000,2.49,"3,314,898,292",1127
57,Albania,1996,male,55-74 years,3,179900,1.67,"3,314,898,292",1127
58,Albania,1996,female,55-74 years,1,183100,0.55,"3,314,898,292",1127
59,Albania,1996,male,5-14 years,2,380400,0.53,"3,314,898,292",1127
60,Albania,1996,female,5-14 years,1,354100,0.28,"3,314,898,292",1127
61,Albania,1997,male,25-34 years,36,236000,15.25,"2,359,903,108",793
62,Albania,1997,male,15-24 years,33,244400,13.5,"2,359,903,108",793
63,Albania,1997,male,75+ years,3,25400,11.81,"2,359,903,108",793
64,Albania,1997,male,35-54 years,30,380800,7.88,"2,359,903,108",793
65,Albania,1997,female,15-24 years,21,294000,7.14,"2,359,903,108",793
66,Albania,1997,male,55-74 years,12,180300,6.66,"2,359,903,108",793
67,Albania,1997,female,25-34 years,16,273900,5.84,"2,359,903,108",793
68,Albania,1997,female,75+ years,2,42100,4.75,"2,359,903,108",793
69,Albania,1997,female,35-54 years,7,370100,1.89,"2,359,903,108",793
70,Albania,1997,female,5-14 years,6,361800,1.66,"2,359,903,108",793
71,Albania,1997,male,5-14 years,4,381500,1.05,"2,359,903,108",793
72,Albania,1997,female,55-74 years,0,187000,0,"2,359,903,108",793
73,Albania,1998,male,75+ years,3,25800,11.63,"2,707,123,772",899
74,Albania,1998,male,15-24 years,27,248800,10.85,"2,707,123,772",899
75,Albania,1998,female,15-24 years,32,295600,10.83,"2,707,123,772",899
76,Albania,1998,male,25-34 years,26,240400,10.82,"2,707,123,772",899
77,Albania,1998,male,35-54 years,29,388200,7.47,"2,707,123,772",899
78,Albania,1998,male,55-74 years,9,183800,4.9,"2,707,123,772",899
79,Albania,1998,female,25-34 years,10,275300,3.63,"2,707,123,772",899
80,Albania,1998,female,55-74 years,6,188200,3.19,"2,707,123,772",899
81,Albania,1998,female,35-54 years,9,372100,2.42,"2,707,123,772",899
82,Albania,1998,male,5-14 years,2,388400,0.51,"2,707,123,772",899
83,Albania,1998,female,5-14 years,1,363800,0.27,"2,707,123,772",899
84,Albania,1998,female,75+ years,0,42300,0,"2,707,123,772",899
85,Albania,1999,male,75+ years,3,25900,11.58,"3,414,760,915",1127
86,Albania,1999,male,15-24 years,24,250600,9.58,"3,414,760,915",1127
87,Albania,1999,female,75+ years,4,42400,9.43,"3,414,760,915",1127
88,Albania,1999,male,35-54 years,31,391100,7.93,"3,414,760,915",1127
89,Albania,1999,male,25-34 years,19,242300,7.84,"3,414,760,915",1127
90,Albania,1999,male,55-74 years,14,185200,7.56,"3,414,760,915",1127
91,Albania,1999,female,15-24 years,19,296800,6.4,"3,414,760,915",1127
92,Albania,1999,female,25-34 years,13,276500,4.7,"3,414,760,915",1127
93,Albania,1999,female,55-74 years,6,188800,3.18,"3,414,760,915",1127
94,Albania,1999,female,35-54 years,5,373600,1.34,"3,414,760,915",1127
95,Albania,1999,female,5-14 years,1,365200,0.27,"3,414,760,915",1127
96,Albania,1999,male,5-14 years,0,391300,0,"3,414,760,915",1127
97,Albania,2000,male,25-34 years,17,232000,7.33,"3,632,043,908",1299
98,Albania,2000,male,55-74 years,10,177400,5.64,"3,632,043,908",1299
99,Albania,2000,female,75+ years,2,37800,5.29,"3,632,043,908",1299
100,Albania,2000,male,75+ years,1,24900,4.02,"3,632,043,908",1299
101,Albania,2000,female,15-24 years,6,263900,2.27,"3,632,043,908",1299
102,Albania,2000,male,15-24 years,5,240000,2.08,"3,632,043,908",1299
103,Albania,2000,female,35-54 years,5,332200,1.51,"3,632,043,908",1299
104,Albania,2000,female,25-34 years,3,245800,1.22,"3,632,043,908",1299
105,Albania,2000,male,35-54 years,4,374700,1.07,"3,632,043,908",1299
106,Albania,2000,male,5-14 years,1,374900,0.27,"3,632,043,908",1299
107,Albania,2000,female,5-14 years,0,324700,0,"3,632,043,908",1299
108,Albania,2000,female,55-74 years,0,168000,0,"3,632,043,908",1299
109,Albania,2001,male,25-34 years,22,206484,10.65,"4,060,758,804",1451
110,Albania,2001,male,35-54 years,34,378826,8.98,"4,060,758,804",1451
111,Albania,2001,male,55-74 years,11,196670,5.59,"4,060,758,804",1451
112,Albania,2001,female,75+ years,2,47254,4.23,"4,060,758,804",1451
113,Albania,2001,male,15-24 years,10,256039,3.91,"4,060,758,804",1451
114,Albania,2001,female,15-24 years,9,271359,3.32,"4,060,758,804",1451
115,Albania,2001,female,35-54 years,12,370191,3.24,"4,060,758,804",1451
116,Albania,2001,male,75+ years,1,31044,3.22,"4,060,758,804",1451
117,Albania,2001,female,55-74 years,6,189799,3.16,"4,060,758,804",1451
118,Albania,2001,male,5-14 years,6,321556,1.87,"4,060,758,804",1451
119,Albania,2001,female,25-34 years,4,222771,1.8,"4,060,758,804",1451
120,Albania,2001,female,5-14 years,2,307356,0.65,"4,060,758,804",1451
121,Albania,2002,male,75+ years,4,31007,12.9,"4,435,078,648",1573
122,Albania,2002,male,25-34 years,23,206286,11.15,"4,435,078,648",1573
123,Albania,2002,male,35-54 years,35,382139,9.16,"4,435,078,648",1573
124,Albania,2002,male,55-74 years,13,198130,6.56,"4,435,078,648",1573
125,Albania,2002,male,15-24 years,15,263067,5.7,"4,435,078,648",1573
126,Albania,2002,female,15-24 years,14,275970,5.07,"4,435,078,648",1573
