,Country,Year,Unemployment Rate
0,Albania,1991,10.31
1,Albania,1992,30.01
2,Albania,1993,25.26
3,Albania,1994,20.84
4,Albania,1995,14.61
5,Albania,1996,13.93
6,Albania,1997,16.88
7,Albania,1998,20.05
8,Albania,1999,20.84
9,Albania,2000,19.03
10,Albania,2001,18.58
11,Albania,2002,17.9
12,Albania,2003,16.99
13,Albania,2004,16.31
14,Albania,2005,15.97
15,Albania,2006,15.63
16,Albania,2007,15.97
17,Albania,2008,13.06
18,Albania,2009,13.67
19,Albania,2010,14.09
20,Albania,2011,13.48
21,Albania,2012,13.38
22,Albania,2013,15.87
23,Albania,2014,18.05
24,Albania,2015,17.19
25,Albania,2016,15.42
26,Argentina,1991,5.44
27,Argentina,1992,6.36
28,Argentina,1993,10.1
29,Argentina,1994,11.76
30,Argentina,1995,18.8
31,Argentina,1996,17.11
32,Argentina,1997,14.82
33,Argentina,1998,12.65
34,Argentina,1999,14.05
35,Argentina,2000,15
36,Argentina,2001,17.32
37,Argentina,2002,19.59
38,Argentina,2003,15.36
39,Argentina,2004,13.52
40,Argentina,2005,11.51
41,Argentina,2006,10.08
42,Argentina,2007,8.47
43,Argentina,2008,7.84
44,Argentina,2009,8.65
45,Argentina,2010,7.71
46,Argentina,2011,7.18
47,Argentina,2012,7.22
48,Argentina,2013,7.1
49,Argentina,2014,7.27
50,Argentina,2015,7.52
51,Argentina,2016,8.11
52,Armenia,1991,1.6
53,Armenia,1992,1.8
54,Armenia,1993,5.3
55,Armenia,1994,6.6
56,Armenia,1995,6.7
57,Armenia,1996,9.3
58,Armenia,1997,10.8
59,Armenia,1998,9.4
60,Armenia,1999,11.2
61,Armenia,2000,11.05
62,Armenia,2001,10.91
63,Armenia,2002,10.78
64,Armenia,2003,10.59
65,Armenia,2004,10.34
66,Armenia,2005,10.2
67,Armenia,2006,10
68,Armenia,2007,9.81
69,Armenia,2008,14.39
70,Armenia,2009,18.44
71,Armenia,2010,19.01
72,Armenia,2011,18.44
73,Armenia,2012,17.3
74,Armenia,2013,16.18
75,Armenia,2014,17.5
76,Armenia,2015,18.26
77,Armenia,2016,17.62
78,Australia,1991,9.58
79,Australia,1992,10.73
80,Australia,1993,10.87
81,Australia,1994,9.72
82,Australia,1995,8.47
83,Australia,1996,8.51
84,Australia,1997,8.36
85,Australia,1998,7.68
86,Australia,1999,6.87
87,Australia,2000,6.28
88,Australia,2001,6.74
89,Australia,2002,6.37
90,Australia,2003,5.93
91,Australia,2004,5.39
92,Australia,2005,5.03
93,Australia,2006,4.78
94,Australia,2007,4.38
95,Australia,2008,4.23
96,Australia,2009,5.56
97,Australia,2010,5.21
98,Australia,2011,5.08
99,Australia,2012,5.22
100,Australia,2013,5.66
101,Australia,2014,6.08
102,Australia,2015,6.05
103,Australia,2016,5.71
104,Austria,1991,3.42
105,Austria,1992,3.59
106,Austria,1993,4.25
107,Austria,1994,3.54
108,Austria,1995,4.35
109,Austria,1996,5.28
110,Austria,1997,5.15
111,Austria,1998,5.52
112,Austria,1999,4.7
113,Austria,2000,4.69
114,Austria,2001,4.01
115,Austria,2002,4.85
116,Austria,2003,4.78
117,Austria,2004,5.83
118,Austria,2005,5.63
119,Austria,2006,5.24
120,Austria,2007,4.86
121,Austria,2008,4.13
122,Austria,2009,5.3
123,Austria,2010,4.82
124,Austria,2011,4.56
125,Austria,2012,4.87
126,Austria,2013,5.33
127,Austria,2014,5.62
128,Austria,2015,5.72
129,Austria,2016,6.01
130,Azerbaijan,1991,0.9
131,Azerbaijan,1992,1.8
132,Azerbaijan,1993,4.5
133,Azerbaijan,1994,6.3
134,Azerbaijan,1995,7.2
135,Azerbaijan,1996,8.1
136,Azerbaijan,1997,9.1
137,Azerbaijan,1998,10
138,Azerbaijan,1999,10.9
139,Azerbaijan,2000,11.78
140,Azerbaijan,2001,10.91
141,Azerbaijan,2002,10.04
142,Azerbaijan,2003,9.17
143,Azerbaijan,2004,7.99
144,Azerbaijan,2005,7.26
145,Azerbaijan,2006,6.62
146,Azerbaijan,2007,6.33
147,Azerbaijan,2008,5.86
148,Azerbaijan,2009,5.74
149,Azerbaijan,2010,5.63
150,Azerbaijan,2011,5.42
151,Azerbaijan,2012,5.19
152,Azerbaijan,2013,4.97
153,Azerbaijan,2014,4.91
154,Azerbaijan,2015,4.96
155,Azerbaijan,2016,5
156,Bahamas,1991,12.17
157,Bahamas,1992,14.81
158,Bahamas,1993,12.72
159,Bahamas,1994,13.83
160,Bahamas,1995,10.83
161,Bahamas,1996,11.46
162,Bahamas,1997,9.76
163,Bahamas,1998,7.65
164,Bahamas,1999,7.45
165,Bahamas,2000,7.2
166,Bahamas,2001,6.87
167,Bahamas,2002,9.05
168,Bahamas,2003,10.84
169,Bahamas,2004,10.2
170,Bahamas,2005,10.2
171,Bahamas,2006,7.54
172,Bahamas,2007,7.88
173,Bahamas,2008,8.18
174,Bahamas,2009,14.25
175,Bahamas,2010,14.31
176,Bahamas,2011,14.52
177,Bahamas,2012,14.02
178,Bahamas,2013,16.18
179,Bahamas,2014,13.8
180,Bahamas,2015,12
181,Bahamas,2016,12.7
182,Bahrain,1991,1.01
183,Bahrain,1992,1.05
184,Bahrain,1993,1.01
185,Bahrain,1994,1.11
186,Bahrain,1995,1.08
187,Bahrain,1996,1.08
188,Bahrain,1997,1.09
189,Bahrain,1998,1.08
190,Bahrain,1999,1.09
191,Bahrain,2000,1.08
192,Bahrain,2001,1.11
193,Bahrain,2002,1.11
194,Bahrain,2003,1.09
195,Bahrain,2004,1.09
196,Bahrain,2005,1.09
197,Bahrain,2006,1.1
198,Bahrain,2007,1.09
199,Bahrain,2008,1.11
200,Bahrain,2009,1.14
201,Bahrain,2010,1.13
202,Bahrain,2011,1.18
203,Bahrain,2012,1.2
204,Bahrain,2013,1.18
205,Bahrain,2014,1.19
206,Bahrain,2015,1.2
207,Bahrain,2016,1.19
208,Barbados,1991,22.67
209,Barbados,1992,22.94
210,Barbados,1993,24.54
211,Barbados,1994,22.98
212,Barbados,1995,19.66
213,Barbados,1996,14.71
214,Barbados,1997,14.61
215,Barbados,1998,12.4
216,Barbados,1999,10.61
217,Barbados,2000,9.35
218,Barbados,2001,9.85
219,Barbados,2002,10.32
220,Barbados,2003,11
221,Barbados,2004,9.57
222,Barbados,2005,9.08
223,Barbados,2006,8.73
224,Barbados,2007,7.41
225,Barbados,2008,8.12
226,Barbados,2009,10.02
227,Barbados,2010,10.69
228,Barbados,2011,11.19
229,Barbados,2012,11.59
230,Barbados,2013,11.55
231,Barbados,2014,12.17
232,Barbados,2015,9.8
233,Barbados,2016,8.25
234,Belarus,1991,0.6
235,Belarus,1992,3.1
236,Belarus,1993,8.5
237,Belarus,1994,12.8
238,Belarus,1995,17.7
239,Belarus,1996,24.4
240,Belarus,1997,17.1
241,Belarus,1998,14
242,Belarus,1999,12.8
243,Belarus,2000,12.26
244,Belarus,2001,11.55
245,Belarus,2002,10.91
246,Belarus,2003,10.32
247,Belarus,2004,9.82
248,Belarus,2005,9.06
249,Belarus,2006,8.4
250,Belarus,2007,7.67
251,Belarus,2008,7.03
252,Belarus,2009,6.1
253,Belarus,2010,6.25
254,Belarus,2011,6.17
255,Belarus,2012,6.05
256,Belarus,2013,6.01
257,Belarus,2014,5.99
258,Belarus,2015,5.84
259,Belarus,2016,5.84
260,Belgium,1991,6.99
261,Belgium,1992,6.7
262,Belgium,1993,8.08
263,Belgium,1994,9.65
264,Belgium,1995,9.34
265,Belgium,1996,9.48
266,Belgium,1997,8.96
267,Belgium,1998,9.32
268,Belgium,1999,8.65
269,Belgium,2000,6.59
270,Belgium,2001,6.18
271,Belgium,2002,6.91
272,Belgium,2003,7.68
273,Belgium,2004,7.36
274,Belgium,2005,8.44
275,Belgium,2006,8.25
276,Belgium,2007,7.46
277,Belgium,2008,6.98
278,Belgium,2009,7.91
279,Belgium,2010,8.29
280,Belgium,2011,7.14
281,Belgium,2012,7.54
282,Belgium,2013,8.43
283,Belgium,2014,8.52
284,Belgium,2015,8.48
285,Belgium,2016,7.83
286,Belize,1991,9.7
287,Belize,1992,9.69
288,Belize,1993,9.78
289,Belize,1994,11.1
290,Belize,1995,12.48
291,Belize,1996,13.82
292,Belize,1997,12.68
293,Belize,1998,14.31
294,Belize,1999,12.84
295,Belize,2000,10.85
296,Belize,2001,9.07
297,Belize,2002,10.04
298,Belize,2003,10.24
299,Belize,2004,10.59
300,Belize,2005,10.91
301,Belize,2006,9.39
302,Belize,2007,8.51
303,Belize,2008,8.18
304,Belize,2009,8.25
305,Belize,2010,8.24
306,Belize,2011,8.28
307,Belize,2012,8.31
308,Belize,2013,8.35
309,Belize,2014,8.24
310,Belize,2015,7.58
311,Belize,2016,7
312,Bosnia and Herzegovina,1991,17.55
313,Bosnia and Herzegovina,1992,18.3
314,Bosnia and Herzegovina,1993,19.32
315,Bosnia and Herzegovina,1994,20.71
316,Bosnia and Herzegovina,1995,21.77
317,Bosnia and Herzegovina,1996,22.77
318,Bosnia and Herzegovina,1997,23.61
319,Bosnia and Herzegovina,1998,24.49
320,Bosnia and Herzegovina,1999,25.09
321,Bosnia and Herzegovina,2000,25.78
322,Bosnia and Herzegovina,2001,26.61
323,Bosnia and Herzegovina,2002,27.55
324,Bosnia and Herzegovina,2003,28.36
325,Bosnia and Herzegovina,2004,29.37
326,Bosnia and Herzegovina,2005,30.41
327,Bosnia and Herzegovina,2006,31.11
328,Bosnia and Herzegovina,2007,28.98
329,Bosnia and Herzegovina,2008,23.41
330,Bosnia and Herzegovina,2009,24.07
