,Unnamed: 0_x,Country,Year,Sex,Age,suicides_no,population,suicides/100k pop,gdp_for_year ($),gdp_per_capita ($),Unnamed: 0_y,Schizophrenia (%),Bipolar disorder (%),Eating disorders (%),Anxiety disorders (%),Drug use disorders (%),Depression (%),Alcohol use disorders (%),Unnamed: 0,Unemployment Rate
0,1,Albania,1992.0,male,35-54 years,12.0,343800.0,3.49,"709,452,584",251.0,2,0.193405,0.695603,0.127063,3.333438,0.495337,2.143395,1.706053,1,30.01
1,2,Albania,1992.0,male,15-24 years,9.0,263700.0,3.41,"709,452,584",251.0,2,0.193405,0.695603,0.127063,3.333438,0.495337,2.143395,1.706053,1,30.01
2,3,Albania,1992.0,male,55-74 years,5.0,159500.0,3.13,"709,452,584",251.0,2,0.193405,0.695603,0.127063,3.333438,0.495337,2.143395,1.706053,1,30.01
3,4,Albania,1992.0,male,25-34 years,7.0,245500.0,2.85,"709,452,584",251.0,2,0.193405,0.695603,0.127063,3.333438,0.495337,2.143395,1.706053,1,30.01
4,5,Albania,1992.0,female,15-24 years,7.0,292400.0,2.39,"709,452,584",251.0,2,0.193405,0.695603,0.127063,3.333438,0.495337,2.143395,1.706053,1,30.01
5,6,Albania,1992.0,female,25-34 years,4.0,267400.0,1.5,"709,452,584",251.0,2,0.193405,0.695603,0.127063,3.333438,0.495337,2.143395,1.706053,1,30.01
6,7,Albania,1992.0,female,35-54 years,2.0,323100.0,0.62,"709,452,584",251.0,2,0.193405,0.695603,0.127063,3.333438,0.495337,2.143395,1.706053,1,30.01
7,8,Albania,1992.0,female,55-74 years,1.0,164900.0,0.61,"709,452,584",251.0,2,0.193405,0.695603,0.127063,3.333438,0.495337,2.143395,1.706053,1,30.01
8,9,Albania,1992.0,female,5-14 years,0.0,336700.0,0.0,"709,452,584",251.0,2,0.193405,0.695603,0.127063,3.333438,0.495337,2.143395,1.706053,1,30.01
9,10,Albania,1992.0,female,75+ years,0.0,38700.0,0.0,"709,452,584",251.0,2,0.193405,0.695603,0.127063,3.333438,0.495337,2.143395,1.706053,1,30.01
10,11,Albania,1992.0,male,5-14 years,0.0,362900.0,0.0,"709,452,584",251.0,2,0.193405,0.695603,0.127063,3.333438,0.495337,2.143395,1.706053,1,30.01
11,12,Albania,1992.0,male,75+ years,0.0,23900.0,0.0,"709,452,584",251.0,2,0.193405,0.695603,0.127063,3.333438,0.495337,2.143395,1.706053,1,30.01
12,13,Albania,1993.0,male,15-24 years,18.0,243300.0,7.4,"1,228,071,038",437.0,3,0.193438,0.695922,0.126019,3.336688,0.494085,2.145263,1.703585,2,25.26
13,14,Albania,1993.0,male,55-74 years,7.0,165000.0,4.24,"1,228,071,038",437.0,3,0.193438,0.695922,0.126019,3.336688,0.494085,2.145263,1.703585,2,25.26
14,15,Albania,1993.0,male,75+ years,1.0,24200.0,4.13,"1,228,071,038",437.0,3,0.193438,0.695922,0.126019,3.336688,0.494085,2.145263,1.703585,2,25.26
15,16,Albania,1993.0,male,25-34 years,9.0,230100.0,3.91,"1,228,071,038",437.0,3,0.193438,0.695922,0.126019,3.336688,0.494085,2.145263,1.703585,2,25.26
16,17,Albania,1993.0,female,15-24 years,10.0,285300.0,3.51,"1,228,071,038",437.0,3,0.193438,0.695922,0.126019,3.336688,0.494085,2.145263,1.703585,2,25.26
17,18,Albania,1993.0,male,35-54 years,10.0,350300.0,2.85,"1,228,071,038",437.0,3,0.193438,0.695922,0.126019,3.336688,0.494085,2.145263,1.703585,2,25.26
18,19,Albania,1993.0,female,25-34 years,7.0,261800.0,2.67,"1,228,071,038",437.0,3,0.193438,0.695922,0.126019,3.336688,0.494085,2.145263,1.703585,2,25.26
19,20,Albania,1993.0,female,35-54 years,7.0,331200.0,2.11,"1,228,071,038",437.0,3,0.193438,0.695922,0.126019,3.336688,0.494085,2.145263,1.703585,2,25.26
20,21,Albania,1993.0,female,55-74 years,2.0,169500.0,1.18,"1,228,071,038",437.0,3,0.193438,0.695922,0.126019,3.336688,0.494085,2.145263,1.703585,2,25.26
21,22,Albania,1993.0,female,5-14 years,1.0,340300.0,0.29,"1,228,071,038",437.0,3,0.193438,0.695922,0.126019,3.336688,0.494085,2.145263,1.703585,2,25.26
22,23,Albania,1993.0,male,5-14 years,1.0,367000.0,0.27,"1,228,071,038",437.0,3,0.193438,0.695922,0.126019,3.336688,0.494085,2.145263,1.703585,2,25.26
23,24,Albania,1993.0,female,75+ years,0.0,39300.0,0.0,"1,228,071,038",437.0,3,0.193438,0.695922,0.126019,3.336688,0.494085,2.145263,1.703585,2,25.26
24,25,Albania,1994.0,male,75+ years,2.0,24600.0,8.13,"1,985,673,798",697.0,4,0.193491,0.696255,0.125402,3.340089,0.49263,2.15007,1.701142,3,20.84
25,26,Albania,1994.0,male,55-74 years,11.0,171400.0,6.42,"1,985,673,798",697.0,4,0.193491,0.696255,0.125402,3.340089,0.49263,2.15007,1.701142,3,20.84
26,27,Albania,1994.0,female,75+ years,2.0,39900.0,5.01,"1,985,673,798",697.0,4,0.193491,0.696255,0.125402,3.340089,0.49263,2.15007,1.701142,3,20.84
